I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
I took my wife to the airport for her trip out of the country for 2 months. I felt really bad on the way home.</s>		<pad> That's awful. Did you apologize?</s>		Ohh man, that is a long time to be alone. What are you going to do while she is gone?</s>
I am very much looking forward to going to Busch Gardens next week with my family!</s>		<pad> That sounds like fun! What are you going to do?</s>		Ive been to Busch Gardens before. They have some really cool Roller coasters. I hope you have a great time.</s>
I was so envious of my friend when she won from a lottery ticket she bought for a buck.</s> I bet. How much did she win and did she offer to share?!</s> She won $5,000 and never offered to share.</s>		<pad> That is a lot of money.</s>		That's a lot of money, to me anyway. Perhaps she's got a lot of debt to pay off, or perhaps she has kids to take care of?</s>
i am really impressed everytime i see my nephew on how fast he is growing</s> It is pretty crazy how fast grow up when you get older, it seems like a couple of weeks and they are in high school</s> yeah but i dont see him very often maybe that is why i always get shocked when i see him</s>		<pad> I know that feeling, but I am sure he will grow up fast.</s>		That's definitely a factor, sometimes I forget about some of my nephews even exist.</s>
My husband has been putting in so many extra hours at work</s> I am sure hes doing it to take care of you guys and I am sure you are pampering him too for doing it.</s> Oh I am pampering the heck out of him! It got him a promotion!</s>		<pad> I bet he is doing great!</s>		Pamper him all the way up until you get some lavish vacation! loooool Im joking, partially! Happy for you guys tho!</s>
Everyone wanted to go skydiving for my birthday.</s> Do you like skydiving? I would be terrified!</s> I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.</s>		<pad> I'm sure you will be fine.</s>		haha, that's true but you can also live with your feet on the ground!</s>
I am a really picky eater, and now my favorite restaraunt is ruined for me.</s>		<pad> I am sorry to hear that. Is it a good place to go?</s>		Why? What happened? I hope you didn't get food posioning.</s>
Each year my husband usually gets a bonus this month or next. It's not promised, but it has happened for several years now. I am really wishing it will be this year too!</s>		<pad> I hope so too!</s>		Hey that's awesome!!! What are you planning to buy with it?</s>
My niece is super talented lately.</s> What is her best talent?</s> Art, she was accepted into a special program for high school.</s>		<pad> I'm glad she's doing well.</s>		Does she draw or paint? How any students are in this program?</s>
There was this one time my girlfriend and I had plans to meet a Longhorn steakhouse for a date.. She ended up keeping me waiting inside 30 extra minutes! I was pretty frustrated.</s> I can only imagine having to wait at the table alone, wondering if she'd show up. At least, it sounds like, she finally arrived. Did she specify a reason for being so late?</s> Yes, she actually had a legit reason so I couldn't be too mad at her.. She definitely made it up to me!</s>		<pad> I'm glad she did.</s>		That's good. I can somewhat relate. I think the longest I've waited on someone was a colleague who was supposed to meet us at happy hour, and ended up getting delayed by our boss for 45 minutes. We were glad she made it out, but I did feel worse for her than for all of us.</s>
I've felt so incredibly sad whenever we've had to say goodbye to any of our dogs.</s>		<pad> I know that feeling. I'm sorry to hear that.</s>		Wait, were they leaving to go somewhere or like dying? Either one is a little sad to be honest.</s>
I went to the store, just trying to get some milk and bread, and I got rear ended by a driver.</s>		<pad> Oh no! Did you get a ticket?</s>		Oh NO! Are you okay?</s>
I came home today and my roommate was cooking dinner, all i had to do was fix my plate. It was so nice.</s>		<pad> That's nice. What did you do?</s>		well that was mighty nice of them, you wash dishes?</s>
Hi, I'm separated, I'm hurt and my heart is broken</s>		<pad> I'm sorry to hear that. I hope you are feeling better soon.</s>		When did you get separated? By the way, that is terrible to hear.</s>
I'm taking the California Bar exam to become an attorney in February and I'm sooo nervous!</s> That is pretty cool! What made you want to become a lawyer?</s> I played a video game when I was younger, called Phoenix Wright: Ace Attorney, and it made me want to become one!</s>		<pad> That is a great game to play.</s>		Great! I know it can be a tough job, I am sure you will do fine, keep studying!</s>
we were 20 mins from the airport and the car broke down, overheated and would not start!</s> oh no! that sounds annoying. Did you end up getting help?</s> had to hitch hike. made it on time for check in though. now the cars been in the shop 4 days, no progress. kinda getting worried about it</s>		<pad> I'm sorry to hear that. I hope you get a new one soon.</s>		that sounds terrible! I hope everything gets sorted! Be positive</s>
My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both!</s>		<pad> That's great. I'm glad you were able to get along.</s>		Thats horrible. Did you tell on him?</s>
I have a job interview next week. I'm really nervous.</s>		<pad> That's great! I'm sure you will be able to do well.</s>		That's normal. Try to just be your self. I'm sure it will work out fine.</s>
I was afraid when I watched a horror film</s> I am sorry to hear that, they frighten me as well.</s> Some have pop ups and they are creepy</s>		<pad> I am sorry to hear that. I have seen a few that are creepy.</s>		Yes, those scare me to death when they come out of nowhere.</s>
My daughter started kindergarten recently, i walked her in and met her teacher.</s>		<pad> That's great. What did she learn?</s>		Was she nice?</s>
Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.</s> Did you suffer any injuries?</s> No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.</s>		<pad> I'm sorry to hear that. I hope you recover.</s>		Why did you feel guilty? People really shouldn't drive drunk.</s>
Oh yeah? Do you still look awesome like you did back then?</s> Well.... maybe not as awesome. lol But I do try to keep in shape. It was good seeing all my old friends.</s> Yeah I bet. Do you still keep in touch with any of them?</s> I do a lot of them but some have moved away and we just lost touch.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Yeah. Maybe you should hit them up on FB for a reunion?</s>
i am really happy for next year i have a trip planned to go to india</s>		<pad> I hope you have a great time.</s>		That sounds like fun! I've always wanted to visit India.</s>
I have a really big meeting next week. I have rehearsed what I am to go over all this past week and plan to practice a little more this weekend.</s> Wow! What kind of meeting is it?</s> It's a meeting presenting a new product to the board. Big stuff and big money for the company.</s>		<pad> That's great! I'm sure you will do great!</s>		Dang! I hope you have successful meeting then!</s>
I bumped into a friend from middle school. We chatted for a while</s>		<pad> That's great. I'm glad you had a good time.</s>		Wow, that must have been nice to catch up. When was the last time you saw your friend?</s>
I'm starting a new position at my job soon.</s> Oh that's great. What are you going to be doing?</s> I'll be managing consumer relations at a law firm. I'm really looking forward to it!</s>		<pad> I'm sure you will enjoy it!</s>		Oh wow, that sounds like a tough job, but I bet you will be good at it.</s>
My family is still hasn't recovered from the untimely passing of my father two years ago.</s> I am so sorry to hear that. It can't be easy for you and your family.</s> My siblings and I are managing, and have found some peace. My mother is a different story. It was just so sudden and unexpected.</s>		<pad> I hope you are able to find some peace.</s>		No doubt it will take time to process. I wish your family the best. Stay strong my friend.</s>
I just can't believe some people. I watched this woman throw her trash on a homeless man today.</s>		<pad> I'm sorry to hear that. I hope you don't have to go through that again.</s>		Oh my god, you should have reported her.</s>
I am going to play dominos tonight</s>		<pad> I bet you will.</s>		That sounds like fun! Is it with friends?</s>
I know i'm an adult but I'm very scared of the dark. i have a good imagination so i always see something creepy</s>		<pad> I'm sure you'll be okay.</s>		That;s ok, everyone has some kinda fears that make little sense to others.</s>
Imagine my surprise after 6 months of trying. Now we also know it's a boy</s> You must be over the moon happy.</s> I am. Especially when we saw the ultrasound. Takes after his dad if you know what I mean haha</s>		<pad> That's great. I hope he's doing well.</s>		Very funny. Have you decided on a name yet?</s>
Dragon tongue beans! I've never heard of them! What do they look like?</s> They're the same shape as regular green beans, but lighter in color and they have red streaks through them. You treat them as you would green beans.</s> I will have to look for those. We have a huge variety of foods where I live, but this is new to me.</s> What I love about this store is it sources all of its produce locally and its all organic. So you get some strange, different things to try!</s>		<pad> I love green beans, but I have never tried them.</s>		It sounds amazing! Are the prices good?</s>
My ex recently said that he was wanting to get back together. I'm not sure how to feel about it, we've been getting along great since we broke up.</s>		<pad> I'm sorry to hear that. I hope you guys get back together soon.</s>		Why did yall break up?</s>
I am hopeful that my friend will be able to make it to my party</s>		<pad> That is great. I hope she makes it.</s>		Thats good, is it very important that this friend be there?</s>
i was so stressed when i found out that i did not get accepted in my dream college</s>		<pad> That's a good feeling. I hope you get accepted.</s>		Oh no. Did you have a good backup plan?</s>
I found an old photo album at my grandma's house that had pictures of me when I was a kid</s>		<pad> That's great! I'm glad you found it.</s>		That's cool, did it bring back some good memories?</s>
I just got a new pair of yeezy shoes and a clean hair cut.</s> Nice, I wish I could get a pair of those shoes.</s> I feel on top of the world. I don't know whoever said things can't bring you happiness. They must never owned a pair of Yeezy's</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		How much did you pay for them?</s>
When I enter the bus, I fainted. I think that I got overheated.</s>		<pad> Oh no! I'm sorry to hear that. Did you get overheated?</s>		That's no good. Did you go to the doctor?</s>
I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors</s>		<pad> I'm sorry to hear that. Did you have any advice?</s>		Ugh, those articles always get me too... :( What was wrong with her?</s>
My sons first day of school was the other day.</s>		<pad> That's great. What did he do?</s>		wow. like, very first? or just the start of the year?</s>
Last year we lost our home of 20 years to a house fire.</s> Oh no! I can't even imagine that - was everyone ok?</s> Yes, thankfully everybody was safe. Nobody was even home when it happened.</s>		<pad> I hope everything is ok.</s>		I'm so glad that everyone was ok. But I know that was devastating - did you rebuild?</s>
I'm taking the California Bar exam to become an attorney in February and I'm sooo nervous!</s>		<pad> I'm sure you will be able to pass.</s>		That is pretty cool! What made you want to become a lawyer?</s>
I went to the store for sodas and it ended up being a rough trip.</s>		<pad> Oh no. Did you get a soda?</s>		Ut oh.. what happened?</s>
My dog pooped on the floor after I let her in the house.</s> That's a tragedy! What ever did you do?!?!</s> I told her she was a bad dog and had to clean it up.</s>		<pad> I'm sorry to hear that. I hope you get better soon.</s>		Serves her right! These animals can't go around thinking they can poop on our things!</s>
Sometimes when I'm driving home after a holiday, such as christmas, I get an overwhelming sense of being alone.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Aw, I'm sorry. I know this isn't the best solution, but have you considered listening to funny podcasts?</s>
My son is such a rascal! He took my car for a joy ride!</s>		<pad> That's awesome! What kind of car did he take?</s>		Oh my god! How old is he?</s>
I went skydiving last summer with my partner. It was so scary!</s>		<pad> That is awesome! Did you have fun?</s>		Wow, that is scary. Were you nervous?</s>
I've been trying really hard to get a promotion at my company but they just hired someone to fill that spot from outside of the company.</s> Ahh, that's too bad, did you mention it to your boss?</s> My boss is pretty temperamental and doesn't like people questioning his decisions, probably a bad idea.</s>		<pad> I'm sorry to hear that, I hope you get a promotion soon.</s>		Oh I'm sorry to hear that. Maybe next time!</s>
My cat was playing last nigh and brought it to me.</s> That sounds like fun. what did it bring to you?</s> Well, it wasn't one of his toys like I thought. It was a dead mouse</s>		<pad> I bet that was fun.</s>		Eww... that's pretty gross. I had a cat once that would bring me dead birds too. I think that means they like you!</s>
I used to get supremely scared when I wanted to go up stairs when the lights were off</s> I do hate when the lights are off too</s> Yeah, so I would book it up the stairs as fast as possible</s>		<pad> I'm sure you will be fine.</s>		I am sure I would too. Just be careful</s>
My best friend is doing 30 years in prison. I miss my good friend.</s> Oh,will u be going to pay him a visit?</s> I can't visit him. I've had to flee the country. We were robbing banks together, and he got caught with half the cash. I'm currently in the Bahamas.</s>		<pad> I'm sorry to hear that. I hope you get to see him soon.</s>		Hope u will not indulge in such act like theft again?</s>
That is really cool. i bet it felt nice watching those</s> Uhm.. yeah, sure. I concur!</s> I envy people who can dance really well</s>		<pad> I bet that was fun.</s>		Oh yeah, me too. They have such cool attitude</s>
I'm looking for a new job, and I'm feeling pretty good about my options.</s> what are your options?</s> There's a lot of openings for tech jobs lately, especially technical support.</s>		<pad> I'm glad you're feeling good.</s>		oh yeah thats always going to be up and coming for sure</s>
I babysat and worked odd jobs all summer when i was younger to save up and buy a sega dreamcast.</s> Oh god I miss my dreamcast, I bet you were so happy when you got it.</s> Yep, i've never looked forward to something so much in my life. I still have the dreamcast as well.</s>		<pad> I'm sure you'll be able to enjoy it.</s>		That's great I have pretty much all of the ones I had in my childhood, even the Atari.</s>
I got a surprise gift in the mail yesterday.</s> Wow! What was it?</s> A gorgeous vase. It's so pretty. I have no idea who sent it.</s>		<pad> I'm sure you will be very happy with it.</s>		I'd like to see this vase. Do you like flowers?</s>
I had to cancel our family vacation coming up next month.</s>		<pad> Oh no! What happened?</s>		I am really sorry to hear that. I hope everything is alright.</s>
I'm so tired this morning, I went to bed early, but it seems when I go to bed early I wake up more tired. It aggravates me!</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		This happened to me also.</s>
I was disgusted when my dad left me</s>		<pad> That is so sad. I hope you were able to get over it.</s>		Why did he leave you?</s>
I like to help at the animal shelter walking the dogs. They get a chance to get out of their cages and be with a nice human like me.</s> That is really nice of you! I am sure they appreciate it</s> They do. They get to smell the grass, they play they get their exercise, they get to have fun, they get to be a dog!</s>		<pad> I am sure they will too!</s>		They get to enjoy themselves and have a good time! :)</s>
My friend's baby has grown so much since the last time I had seen her!</s>		<pad> Oh wow, that's awesome! What did you do?</s>		It's crazy how quickly kiddos grow! Even in a few weeks time! Do you see your friend and her baby often?</s>
I was so scared of going onto the train!</s> Was it your first time riding on one? Is there something in particular that makes you afraid?</s> No but I hate going in objects that travel fast, I really did not want to go on it.</s>		<pad> I'm sorry to hear that. I'm glad you're okay.</s>		Was it your only choice to get where you were going?</s>
I am so nervous to start my new job tommorrow.</s>		<pad> I am sure you will be ok.</s>		I am sorry to hear that, I am sure you will be fine. What kind of job is it?</s>
I just got matched up with someone online. It will be my first date in a while.</s> I am happy for you. Are you excited?</s> Yeah, I'm really hoping to make a good impression. Other wise that would feel pretty bad.</s>		<pad> That's great. I hope you have a great time.</s>		I bet you will be fine. Just be yourself</s>
An old girlfriend contacted me looking for a one night stand, I had to decline.</s>		<pad> That's a tough decision. I'm sorry to hear that.</s>		Oh man! I hate one night stands!!</s>
I get so tired of hearing about people being mean to animals.</s> I'm with you on this one. What is up with people these days, I just don't understand how they could do that.</s> Right, these poor animals have no clue why people are mean to them. Some people are heartless.</s>		<pad> I'm sorry to hear that. I hope you can find a solution.</s>		I think there should be stiffer penalties for people that do things like that, for instance more jail time.</s>
Congrats. I want a promotion at my job.</s> How long have you been there?</s> three years.</s> I'm sure you've done some good work - would it be hard to talk to someone and make your case?</s>		<pad> I'm sure you've done a lot of good work.</s>		I think I'm just going to move on.</s>
I work for a software company. I have been trying to learn a new language for some stuff. I knocked out my first task like a champ.</s> That's great! Do you get a chance to learn new languages often?</s> Well I have the opportunity, but rarely have the time to really devote to it.</s>		<pad> I'm glad you did well!</s>		My ex programs for insurance companies and they all use the same, ancient language for their statistics. She hasn't had to learn anything new for decades.</s>
I am taking a vacation to Orange Beach, Alabama in a week! My wife and I visited the area about two years ago, and we loved it!</s>		<pad> I am so excited! Is it a beach?</s>		Oh man, I bet that will be fun</s>
I recently completed some additional training at my job. Perhaps a promotion is on its' way?</s>		<pad> I hope so! I'm sure you'll get a promotion soon!</s>		It is always good to keep our skills up to date. We never know. It could also help for a promotion also.</s>
When I started a new job. I was nervous about proving myself all over again.</s> It can been nerve-wracking to start a new job. But I'm sure you did well, right?</s> I did, but I find it hard to trust people. Especially at work.</s>		<pad> I know that feeling. I'm sure you did well.</s>		It's wise to be careful but suspecting people all the time may not be healthy. You need to build a good relationship with your new co-workers.</s>
I just finished eating dinner. We had red beans and rice and with sausage. I'm as full as a tick!</s> That sounds amazing! How long does it take to make the beans? Do you have to soak them?</s> I had to soak them for 3 hours. I think that's what makes that meal so satisfying - the wait!</s>		<pad> I'm glad you enjoyed it!</s>		I can smell the beans and sausage as we speak.. I always find after cooking I'm never hungry. Maybe that's because I snacked the entire time I was cooking.</s>
I was just a kid but can't forget that day I left him alone in the rain. He should've just taken my hand!</s> It is unacceptable. I hope he did not get cold as a result of this</s> I don't know what happened to that kid to be honest.</s>		<pad> I hope he did not get cold.</s>		That is pretty sad and heart-breaking to see kids in such situations</s>
So my brother is turning 16 soon which means I don't have to drive him around anymore. Score!</s>		<pad> That's great! I hope he has a great birthday!</s>		That is nice.</s>
I have such an amazing husband! He works so hard so i could stay home with our baby</s>		<pad> That's great! I'm so happy for you!</s>		What does he do for work?</s>
I went to the fride and was surprised to find what I thought was an ice cream cake.</s> Oh! Was the ice cream cake for you?</s> It turned out to not even be an ice cream cake. It was some kind of pinapple cake. I still had a piece but it was disappointing.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Awww that is kind of disappointing. Ice cream cake sounds tastier than pineapple cake.</s>
Bought two pairs of shoes recently.</s>		<pad> That's great! What shoes are you wearing?</s>		What brand are they?</s>
I woke up the other morning, got ready and drove all the way to work. Just to find out it was a holiday and we had the day off.</s> Oh man that sucks. I'm so sorry because you could have slept in lol</s> I know, but the extra day of work was nice. Especially since I wasn't expecting it.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		See there's always a bright side. You got a surprise day off from work!!!</s>
Cool I just finished today</s> I got an early start this year. Most years I start late and they're out of stuff I need by the time I get around to it.</s> Yeah we had a hard time today lol</s> And then the stores get so crowded after a certain point!</s>		<pad> I'm sorry to hear that. I'm sure you'll be fine.</s>		I am going to do like you next year for sure!</s>
I was leafing through my old photo albums this morning and ran across a picture of me and my mother. I really remember her fondly.</s>		<pad> I'm sure she'll be a great person to have around.</s>		That would bring the tears. I love looking at pictures especially old ones.</s>
My oldest child needed braces but her health insurance wouldn't cover the expense. It was close to 4000 dollars and we did not have that kind of money at the time.</s> I feel you. Last week, I spend 1000 dollars to fix my daughter's teeth. Dentists ask a lot of money now a days.</s> Yes they do. My aunt paid half of the cost for us and didn't has for any of it back because she knew we needed the help.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Ohh well that's good for you. These kind people always help in difficult times.</s>
I am trying to quit drinking soda and I have prayed to God and asked Him to help me. The problem is I am addicted to soda and Its very hard to quit. When I do manage to skip a day, the lack of caffeine causes horrible headaches.</s> I know exactly how you feel. I have a crazy addiction to soda. I don't think I can quit!</s> It just makes me feel bad, that no matter how many times I try, I still give in to the temptation.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Maybe try to slowly quit? Like just drink one less a day</s>
My family is moving from Texas to Arkansas in a few months, Im worried for the change.</s> That is a big change! Are you moving due to a job or something like that?</s> My husband is getting out of the Army and moving back to his hometown where he has a few job offers! Big changes coming..</s>		<pad> I am sure he will be happy for you!</s>		Yes, that is definitely a big change. I hope you settle in quickly though - change like that can be a drastic lifestyle upheaval, but it could also be the best thing ever!</s>
I feel like a terrible sibling right now.</s>		<pad> I'm sorry to hear that.</s>		What did you do to feel that way?</s>
Everybody say a quiet place movie was boring but i still decided to watch it and i was pretty impressed! That movie was so amazing, I feel like i was holding my breath the whole time</s> I've heard about this movie but i've never had a chance to watch it</s> omg, you should! It's a one of a kind movie. I don't wanna spoil it, it's about aliens</s>		<pad> I've never seen it, I've never seen it.</s>		Aliens? I didn't think it was about aliens, i thought it's about ghosts and stuff</s>
The other week, a friend of mine told me there was an opening where he worked and to get him a resume. I took to long to get my resume together and they gave the job to someone else.</s>		<pad> That's a good thing. I hope you get the job soon.</s>		That must have been aggravating! Job hunting is so hard.</s>
I won a free trip to Florida. It's not the best vacation, but I'll take it for free.</s>		<pad> That's great. I'm glad you won.</s>		Why wasn't it good? Florida sounds like an ideal destination.</s>
I once accidently ran down the battery on my car when I mid-judged how long I could run the radio for without the engine running. It was 5am and I was in the middle of nowhere. I called the first person I could think of who could help and they came with crocodile clips and recharged the battery. I felt so grateful to be on the receiving end of a kind act. I was also embarrassed that I had let that happen and I learned from it!</s>		<pad> That is so nice of you. I hope you learned from it.</s>		That sounds like a really stressful situation. It's really good to know that there are still helpful people out there!</s>
I have a really big game coming up this weekend. I haven't played soccer since I was a kid and have been really nervous about joining an adult league.</s> Good luck! I'm sure it will be fine.</s> I just don't want to embarrass myself or my team. I'm so scared i'm going to make a fool of myself.</s>		<pad> I'm sure you will be fine.</s>		You're too hard on yourself. Everyone messes up sometimes, even the greats.</s>
I am looking forward to moving into a easy place to take care of.</s>		<pad> I am sure you will be happy.</s>		That sounds good. Are you moving soon?</s>
Was it like black friday? lol</s> YES. *chuckle!* School starts tomorrow here and it was absolutely insane. The worst part was, usually I go to the store regularly before 10A because there's less people in there and I can just kinda stroll through the aisles. Oh no, not today. It was just about elbow to elbow!</s> Stick to your routine next time</s> I have to grocery shop on Thursday and hopefully the furor will have died down. But I was in the checkout line and I swore that next year, I'm ordering stuff online and having it all shipped and just keeping my happy self at home!</s>		<pad> I hope you have a good week.</s>		I hear ya! I am definitely shopping online</s>
when i was younger I was really getting into graphic design and really wanted a new Apple computer. I knew my parents couldnt afford it, but they somehow made it happen and surprised me on Christmas..</s>		<pad> That's great. I'm glad you got it.</s>		That is awesome! Parents are the best</s>
when she left for 3 weeks i was alone</s> did you do anything special during your alone time?</s> nothing at all. I was kinda depressed</s>		<pad> I am sorry to hear that. I hope you are feeling better soon.</s>		that is not good, you should try to find an activity for when you are alone</s>
I felt so bad about cheating on my science exam, it was terrible</s>		<pad> That's terrible. Did you cheat?</s>		oooh no that's awful</s>
That's really common actually. There's a big exodus from there. They voted for high taxes and now people are abandoning the state beacuse the cost of living is too high.</s> The two things I found that were really bad were rents and gas. Everything else was pretty much the same as other places I've lived. So sad - where I lived was lovely.</s> The weather is nice in parts of california, I've been there.</s> The North is my favorite area - north of San Francisco. Where did you go?</s>		<pad> I've been there before. I've been there before.</s>		My sister got married at Laguna niguel</s>
Someone helped me move.</s> Were they a close friend? And did you pay them with pizza?</s> Yes, and I paid them with beer. I was thankful because I had a toe injury.</s>		<pad> That's great. I hope you're able to move.</s>		I had a shoulder injury when i last moved, except I had to pay movers and pretend they were my friends for a day.</s>
But yeah - school started for the kids today and it was weird how quiet it was once the bus pulled away.</s> Oh, but I bet you appreciated it! Summer can get long.</s> It can. But we had fun! Visited lots of relatives, cooked lots of stuff, goofed off and watched more anime than is probably humanly possible...a part of me is enjoying the quiet but on the other hand, I miss having my kids around to do stuff with.</s>		<pad> I bet you had a lot of fun!</s>		Oh, that does sound like a fun summer. I read recently that we only get 18 summers with our kids- make them count.</s>
I am in the process of potty training my daughter, but when we go somewhere she still wears a diaper. The other day, we were at church and she took her diaper off in the middle of the service.</s> I remember those potty training days!!! I bet you were so embarrassed.</s> It was not one of our best moments. Luckily, she was wearing and long dress and I had extra diapers so we could remedy the situation.</s>		<pad> I bet you were embarrassed.</s>		THank goodness you had extra supplies on hand. My son was the hardest one out of my 3 kids to potty train. I feel your pain!!</s>
I actually recently applied for a few jobs myself, Crossing my fingers for something better than my current one.</s> Well I hope that you find something. Any particular reason that you are job hunting?</s> Current job doesn't pay enough, I'm waiting for the stars to align and something better to come along.</s>		<pad> I hope so. I'm sure you will find something better.</s>		Keep it up and I'm sure something will turn up!</s>
I think i have anxiety attacks! I didn't even know that anxiety causes some physical pain. like the other day i felt like somebody was chocking me</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I have anxiety attacks too, you feel like you cant catch your breath and you are light headed.</s>
As a momma's boy I always missed my mom anytime she was gone for an extended period of time.</s> Sure, that makes sense.</s> Fortunately, she rarely was gone for long periods of time, but I always dreaded this once a year work training she had to do.</s>		<pad> I know, I hate when my mom is gone.</s>		How's your relationship now?</s>
I appreciate the place where I started cuz it helps me keep going</s> Like where you were born?</s> For sure, it reminds me that things are always getting better</s>		<pad> I am glad you are able to continue on.</s>		Was it a rough place to grow up?</s>
So I learned to bowl using two hands yesterday and it was my best game ever!</s>		<pad> That's great! I'm glad you learned how to bowl.</s>		Wow! thats great! I bet you feel proud of it!</s>
One time I went to my friends 16th birthday party. When I was walking in her house I ran smack into their glass door. It was so clean that I didn't see it.</s> Did you hurt yourself?</s> LOL..just my pride. I was mortified and the funny part is that later on I won the door prize</s>		<pad> I bet you were a little embarrassed.</s>		Hahahah! Im dying! Im glad you werent hurt.</s>
I have trouble remembering a time I was more incredibly overwhelmed with excitement than when I got the Nintendo 64 for Christmas all those years ago.</s>		<pad> That's great. I'm sure you'll be able to enjoy it.</s>		I remember that console, that's old school.</s>
I like like loaning money to friends. It can ruin friendships and sometimes doesn't get paid back.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I'm always leery of loaning money to friends</s>
When I worked as a hotel rep. in Spain a few years ago I was greeting guests one morning. Suddenly I saw someone I knew - it was my cousin who decided to come and visit me. It was so unexpected!</s>		<pad> That's awesome! I'm glad you were able to meet her!</s>		Oh that must have been so exciting and surprising!</s>
My husbands cancer free now!</s>		<pad> That's great! I hope you have a great husband!</s>		how awesome. my husband is 7 years cancer free</s>
i was so in awe when i saw hamilton</s>		<pad> That's great. I'm glad you enjoyed it.</s>		The rap version? Doesn't sound all that appealing to me. Was it that good?</s>
I feel nostalgic when playing old school games with my bro</s> Nice, me too, are you playing Nintendo games?</s> Yes and also Sega Genesis. We play these on the xbox one though via emulation</s>		<pad> I'm sure you'll enjoy them.</s>		I remember these game well, like Contra and Battle Toads.</s>
A few weeks ago a coworker called in sick. I had to work twice as long as I normally would.</s> So you covered him. It was very noble from your side to act in this way</s> It was, but it didn't help my feelings towards that coworker.</s>		<pad> That is a very noble thing to do.</s>		Well, at least you did something good for that co-worker and most probably he feels indebted toward you</s>
My father was having abdominal pain, so he went to the hospital and they discovered a tumor.</s>		<pad> That's great. What did he do?</s>		Oh no, was it benign?</s>
In a week my wife will finally be back from being out of the country for 2 months!</s>		<pad> That's great! I hope she's feeling better soon!</s>		Oh geez! Why was she gone for so long?</s>
I was in a rush this morning and didn't realize I had put on two different colored sox.</s>		<pad> Oh no! I'm sorry to hear that. What color were they?</s>		I hate it when that happens. I hope your pants covered them at least.</s>
Oh god- Do you live in the country?</s> Not really. I live in town, but it's a small town.</s> Then the person might be caught, do you have a camera? That is really crappy of someone! I have seen people put metal or wood pallets next to their mailboxes because of people doing stuff like this</s> That's a good idea. I might do that. We don't have a camera because we don't normally have any troubles.</s>		<pad> I'm sorry to hear that. I hope you don't have to worry about it.</s>		It's a good idea to have one just in case. Murders, robberies etc happen even in small/nice towns. Just for your safety</s>
well that's good to hear I guess. what do you do?</s> I work in public relations. I create campaigns for companies.</s> what's your most successful campaign so far?</s> I recently did a very successful one for a medical company.</s>		<pad> I've done a few campaigns for companies.</s>		I always need convincing to take my yucky medicine</s>
Getting this new job should be easy. I am easily the best person that applied.</s>		<pad> That's great. I hope you get it.</s>		Damn, very confident huh? What job did you apply for?</s>
I heard gunshots outside my house the other day in the middle of the night. I think it was 2 or 3 in the morning.</s>		<pad> I'm sorry to hear that. Did you get shot?</s>		Did you find out what happened?</s>
Last night I was minding my own business walking down a street in a not so good area of town when someone started to chase me!</s>		<pad> Oh no! I'm sorry to hear that. What happened?</s>		wow thats crazy.. what ended up happening!</s>
I was surprised when my mom bought me a car</s> Nice! That's a very nice surprise. What kind of car?</s> Its a ford mustang</s>		<pad> That's a nice surprise. I'm sure she'll be happy with it.</s>		Wow, she went all out, hope you drive safely and have fun with it!</s>
Hello the plants in my garden I water them, I move the earth, I try to keep them happy</s>		<pad> I love plants. I love to move the earth.</s>		Gardening can be peaceful</s>
I was going to a wedding outside of my city, and had arranged to have my dogs watched while I was gone, but the person backed out really soon before I had to leave.</s> Oh no! That's awful! I watch animals for a few different people and I would never do that. That's very unprofessional. Did they have an emergency?</s> Something like that, they were vague. It was through a company so I couldn't really get much out of them. Luckily a friend stepped up and watched them for me.</s>		<pad> I'm sorry to hear that. I hope you get some help.</s>		That's ridiculous. I was going to see who might have helped you. I'm so glad your friend helped. Hope you had a great time!</s>
My neighbor ran into my car! They didn't even leave a note!</s> What? That's awful! How did you find out it was them? Did someone see it?</s> I could tell by the color of the paint left on my car, and their car now has a scrape with the color of my car. I don't know what to do.</s>		<pad> I'm sorry to hear that. I hope you don't have to worry about it again.</s>		Oh boy. I would confront them kindly and tell them you'd like to reach a solution without there being a fight or problem. Those situations are never fun. Sorry.</s>
